job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,Posted_as_on_22_5_2022
Senior Software Engineer - Trade Execution,FACTSET SYSTEMS INDIA PVT LTD,4,(806 Reviews),3-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Bachelors or Masters Degree in Computer Science or other relevant engineering field Min...,"written
Core Java APIs
verbal communication
Core Java
AWS
Computer science
PMP
Front office",30+ DAYS AGO
Senior Software Engineer- Core Market data,FACTSET SYSTEMS INDIA PVT LTD,4,(806 Reviews),3-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Bachelors or Masters Degree in Computer Science or other relevant engineering field Min...,"IT Skills
Java
Cloud
AWS
Computer science
Core Java
PMP
Front office",30+ DAYS AGO
Senior Software Engineer ( Big Data ),Orange Business Services,4.3,(766 Reviews),3-7 Yrs,Not disclosed,Gurgaon/Gurugram,"Experience with at least one data cloud service provider, Azure, AWS or GCPExperience h...","Java
Big Data
Spark
Unix
Hadoop
Kafka
SQL
Hive",30+ DAYS AGO
Senior Software Engineer,AutoCAD,4.5,(80 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Responsibilities Work effectively as a member of self-organized agile team that builds,...","Product management
Computer science
UI development
Software design
Front end
Access management
Javascript
Agile",30+ DAYS AGO
Senior Software Engineer,AutoCAD,4.5,(80 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,Bachelor s degree or equivalent experience in Computer Science Should be a Problem solv...,"MySQL
Java
C#
troubleshooting
web services
communication
REST
Go",30+ DAYS AGO
Senior Software Engineer,Dun & Bradstreet,4,(157 Reviews),8-10 Yrs,Not disclosed,Hyderabad/Secunderabad,Lean / Agile mindset and experience with the ability to pivot and manage multiple prior...,"Business process
Process automation
Manager Quality Assurance
Coding
Analytical
Active directory
Agile
microsoft",30+ DAYS AGO
Sr Software Engineer,Cotiviti Corporation,4.1,(200 Reviews),6-11 Yrs,Not disclosed,Hyderabad/Secunderabad,Masters or Bachelors in Engineering in IT/ Electronics / Communication / Computer Scien...,"Hibernate
Core Java
jQuery
JBoss
Eclipse
Javascript
Agile
Oracle",30+ DAYS AGO
Sr Software Engineer,Cotiviti Corporation,4.1,(200 Reviews),10-20 Yrs,Not disclosed,Hyderabad/Secunderabad,"Key Responsibilities Responsible for maintaining the tools and processes for a large, e...","IT Skills
Java
Software Development
Testing
Project Management
DBA
Oracle
Automation",30+ DAYS AGO
"Senior Software Engineer, Java/Scala",AutoCAD,4.5,(80 Reviews),4-8 Yrs,Not disclosed,Pune,Monitor large-scale production applications and have experience with deployment and inf...,"Computer science
Maven
GIT
Web services testing
SCALA
Cloud
Agile
Software development life cycle",30+ DAYS AGO
Senior Software Engineer-Tools,OneAccess Networks,2.6,(7 Reviews),1-4 Yrs,Not disclosed,Bangalore/Bengaluru,"Over 120 international service providers, including numerous Tier 1 carriers, trust our...","IT Skills
Cloud
Architect
Managed services
Product portfolio
Shaping
Agile
network services",30+ DAYS AGO
Software Defined Network and Operations Tech Delivery Subject Matter,Accenture,4.1,(26528 Reviews),6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Software Defined Network and Operations Tech Delivery Subject Matter ExpertProject Role...,"AKS
IT Skills
Cloud
GKE
Capacity Management
Robbin Cloud Infrastructure
MEC-5GPP
MEC",17 DAYS AGO
Software Defined Network and Operations Tech Delivery,Accenture,4.1,(26528 Reviews),6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Professional Attributes : A 7years of design / implementation/support experience workin...,"Cloud Infra Services
Telecom
Team leading
C
Consulting
Cloud
Manager Technology
Infrastructure",18 DAYS AGO
"Staff Engineer - QE Developer, Cloud and Test Automation",Vmware,4.3,(363 Reviews),4-8 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru","Demonstrate solid programming fundamentals, object oriented concepts and be proficient ...","IT Skills
Java
Python
Testing
Cloud
Jenkins
AWS
VMware",30+ DAYS AGO
Software Development Senior Specialist,NTT DATA,4,(7279 Reviews),3-6 Yrs,Not disclosed,Noida,Graduates with minimum of 12 4 Campus Education (BE / MSc / MCA) Co-Ordinate with onsho...,"Agile framework
IT services
Business process
Automation
data services
Business Analyst
Coding
Consulting",30+ DAYS AGO
Software Development Senior Analyst,NTT DATA,4,(7279 Reviews),2-5 Yrs,Not disclosed,Noida,Good at COBOL programming,"SQL
Microsoft Azure
Python
COBOL
IT Skills
Cloud
Mainframe
Azure",30+ DAYS AGO
Helpdesk Associate,NTT DATA,4,(7279 Reviews),0-3 Yrs,Not disclosed,Bangalore/Bengaluru,Good comprehension writing skills - Must possess excellent customer handling skills - S...,"communication
troubleshooting
MS Windows
ITIL
MS Office
PC hardware
Helpdesk
Service desk",28 DAYS AGO
Service Desk Associate (International Voice Support),Unisys,3.8,(728 Reviews),0-3 Yrs,Not disclosed,Bangalore/Bengaluru,Willingness and ability to work in shifts (24 x 7) A minimum of a Bachelor s Degree or ...,"Word
written communication
Microsoft Office Suite
Excel
verbal
Service delivery
Diagnostics
Operating systems",30+ DAYS AGO
Cloud Engineer,Unisys,3.8,(728 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,Knowledge and experience with software and system engineering lifecycle and tools inclu...,"requirements management
development
software architecture
System engineering
Project leadership
HRIS
Debugging
Cloud",30+ DAYS AGO
System Engineer II,Cerner,3.9,(653 Reviews),6-10 Yrs,Not disclosed,Bangalore/Bengaluru,"As a System Engineer at Cerner, you are responsible for the daily, weekly, and monthly ...","IT Skills
Testing
Computer science
Engineer II
Performance tuning
zabbix
Linux
Incident management",24 DAYS AGO
Data Visualization Engineer,Varian Medical Systems India Software Pvt Ltd,3.8,(65 Reviews),3-6 Yrs,Not disclosed,Pune,"Position Summary: As a SW Engineer (Visualization), you will Work in close coordination...","IT Skills
Java
Python
Tableau
Power BI
Azure
Computer science
Analytical",30+ DAYS AGO
Lead DevOps Engineer,Unisys,3.8,(728 Reviews),5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Advanced level knowledge and experience with software and system engineering lifecycle ...,"IT Skills
Testing
Cloud
software architecture
System engineering
Project leadership
HRIS
Configuration management",30+ DAYS AGO
Data Engineer Data Integration,Maintec Technologies,3,(70 Reviews),5-10 Yrs,Not disclosed,Bangalore/Bengaluru,5+ years of solid hands-on experience in using IBM DataStage 2+ years experience with D...,"Unix Scripting
IBM DataStage
debugging
SQL scripting
written communication
Hadoop
verbal
Power BI",30+ DAYS AGO
Software Programmer,Mark Computers Pvt.Ltd,3.7,(6 Reviews),0-1 Yrs,Not disclosed,"Thane, Navi Mumbai, Mumbai (All Areas)",Our Company is currently in search of a Fresher or experienced Dot Net Programmer to De...,"C#
SQL Server
Asp.net
Ms Sql Server
MVC
Asp Net
Asp.Net MVC",5 DAYS AGO
Firmware Engineer - Staff,CA Technologies,3.5,(246 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Should hold Bachelors or a higher degree in Computer Science, Information Technology or...","IT Skills
Python
Computer science
Multithreading
Architecture
Debugging
Firmware development
Technical leadership",30+ DAYS AGO
Principal DevOps Engineer Security Incident Response (Cloud SOC),Informatica,4.8,(19 Reviews),8-13 Yrs,Not disclosed,Bangalore/Bengaluru,"Experience in maintaining security tools such SIEM, ELK, Splunk, Web application Firewa...","Unix
Cloud computing
Automation
Linux
Information security
SOC
Informatica
Open source",30+ DAYS AGO
Training AND Placements ON FULL Stack Python AND Software Testing,Magneq software,4.4,(8 Reviews),13 May - 22 May,Not disclosed,Hyderabad/Secunderabad(Begumpet),Candidate should possess good technical skills from academicsThose who are passed out i...,"Placement
Django
Providing Training
Software Testing
Python
IT Skills
Java
Testing",12 DAYS AGO
Interface Engineer I,Cerner,3.9,(653 Reviews),4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelors Degree in Information Systems, Computer Science, Computer Engineering, Softwa...","Mirth
Rhapsody
HL7 Interfacing
Openlink
Cloverleaf
IT Skills
Testing
Computer science",16 DAYS AGO
Storage Engineer II,Cerner,3.9,(653 Reviews),2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelor s degree in Information Systems, Computer Science, Computer Engineering or Sof...","SAN Administration
POWERMAX
HP XP8
system engineering
System administration
3PAR
EMC VMAX
NetApp",17 DAYS AGO
System Engineer II,Cerner,3.9,(653 Reviews),2-4 Yrs,Not disclosed,Bangalore/Bengaluru,At least 5 years additional work experience directly related to the duties of the job a...,"Agile Methodology
Linux RHEL
troubleshooting
relational database
System administration
IT Skills
Testing
Performance tuning",17 DAYS AGO
Infrastructure Automation Engineer II,Cerner,3.9,(653 Reviews),6-10 Yrs,Not disclosed,Bangalore/Bengaluru,You will participate in reviews to analyze code and identify and correct issues before ...,"IT Skills
Testing
Engineer II
Computer science
Performance tuning
Automation
Configuration management
Debugging",30+ DAYS AGO
Hiring Freshers - Survey Programming Team ( BCA / B-Tech IT/ MCA),Acuity Knowledge Partners,3.8,(177 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,Flexible to work in rotational shifts (UK / US/APAC) Shift allowances BE / BTech/BCA / ...,"Javascript
Jquery
HTML5
Python
CSS
communication
IT Skills
Project Management",26 DAYS AGO
Data Engineer Data Integration,Maintec Technologies,3,(70 Reviews),3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Must to have : 3 to 5 yrs in Administration activities for Informatica IDQ, EDC and IDQ...","Informatica DQ
Axon
Axon API
Informatica IDQ
Unix
SQL
EDC
IDQ",30+ DAYS AGO
Principal CloudOps Engineer,Ingram Micro,3.9,(477 Reviews),10-15 Yrs,Not disclosed,Mumbai,Your Role: We are looking for an experienced Cloud Operations professional with a focus...,"IT Skills
Java
Testing
Automation
Linux
Configuration management
Perl
Application development",30+ DAYS AGO
Site Reliability Engineer,NTT DATA,4,(7279 Reviews),3-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Each progressive level includes the ability to perform the essential functions of any l...,"IT Skills
Python
ERP
Visual Basic
Production support
Manager Technology
Infrastructure
Information technology",30+ DAYS AGO
Software Programmer,Nrt Consultancy Services Pvt. Ltd,4.6,(4 Reviews),0-2 Yrs,Not disclosed,Raipur,"Should have knowledge in Database . SQL , Oracle. Should know how to write a query.","Database SQL
Oracle
IT Skills
SQL",4 DAYS AGO
Data Engineer Data Integration,Maintec Technologies,3,(70 Reviews),2-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Certification in DB2, CDC, ETL DataStage, Oracle is preferred Manages and maintains int...","analytical
InfoSphere
UNIX
Analysis
Oracle 9i
SQL
IBM Websphere
Mysql",30+ DAYS AGO
HCL || Cyber Security,HCL Technologies,3.8,(19170 Reviews),0-1 Yrs,"5,00,000 - 6,00,000 PA.","Chennai, Bangalore/Bengaluru, Delhi / NCR","Role: Cyber Security, Cloud /DevOps Qualification: ME/M Tech Requirements: Experience i...","cyber security
Threat Modeler
Penetration testing
Unix
Cryptography algorithms
DSA
MDR
RSA",7 DAYS AGO
"Application Support Engineer - Windows .Net, R 8278",Rackspace Technology,4.1,(159 Reviews),1-7 Yrs,Not disclosed,Remote,Bachelor s degree in CS or IS preferred or equivalent experience MCSE certifications pr...,"IT Skills
Testing
DevOps
.Net
Ansible
Infrastructure Design
Application Support
Windows",30+ DAYS AGO
Software Tester,Dev Software & Services Pvt LTD,4.4,(15 Reviews),0-4 Yrs,"1,50,000 - 6,50,000 PA.","Mumbai Suburban, Thane, Navi Mumbai",Any Specific Requirement : Certificate in Automated testing would be an added advantage...,"Postman Tool
SOAP UPI
POSTMAN
Communication
IT Skills
Testing
test case preparation
test scenarios",15 DAYS AGO
System Engineer I,Cerner,3.9,(653 Reviews),4-8 Yrs,Not disclosed,Bangalore/Bengaluru,We are pleased to inform that Cerner is looking for a Systems Engineer I within BLR ITW...,"DHCP
Landesk
Active Directory
GPO
Shavlik
troubleshooting
SCCM
IIS",30+ DAYS AGO
QA Engineer,Neustar,4.5,(25 Reviews),4-7 Yrs,Not disclosed,Bangalore/Bengaluru,Bachelors degree in computer science or engineering discipline Hands on experience with...,"IT Skills
Testing
Quality Assurance
Computer science
Telecom
Manager Quality Assurance
Business analysis
Information security",15 DAYS AGO
Site Reliability Engineer,NTT DATA,4,(7279 Reviews),3-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Each progressive level includes the ability to perform the essential functions of any l...,"ERP
Visual Basic
Production support
Manager Technology
Infrastructure
Information technology
Ruby
Operations",19 DAYS AGO
HCL | Hiring from Premium B-Schools - Global Engagement Manager,HCL Technologies,3.8,(19170 Reviews),0-5 Yrs,Not disclosed,"Noida, Chennai, Bangalore/Bengaluru",HCL Technologies Ltd. is offering opportunities across an integrated portfolio of produ...,"Consultant Coordination
Marketing Management
Business Development
IT Skills
Cloud
Product Management
Program Management
Stock Market Operations",30+ DAYS AGO
Digital Technology Specialists - Modern Work,Microsoft,4.3,(664 Reviews),7-12 Yrs,Not disclosed,Gurgaon/Gurugram,Responsibilities Help customers make technical decisions to build tomorrow s business a...,"IT Skills
Cloud
Sharepoint
Power BI
Computer science
Cloud computing
Architecture
Consulting",30+ DAYS AGO
Account Technology Strategist - Digital Natives,Microsoft,4.3,(664 Reviews),4-8 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",Account Technology Strategist (ATS) The ATS is the leader responsible for designing the...,"Computer science
Business consulting
Strategic partnerships
Manager Technology
Technical sales
Business strategy
microsoft
Information technology",30+ DAYS AGO
Performance Engineer,Paysafe Group,3.2,(12 Reviews),5-8 Yrs,Not disclosed,Hyderabad/Secunderabad,The primary role of this position will be to test for the resiliency and robustness of ...,"IT Skills
Java
J2EE
Testing
Elastic Search
Big Data
Core Java
Automation",30+ DAYS AGO
Lead Platform Engineer,Paysafe Group,3.2,(12 Reviews),6-10 Yrs,Not disclosed,Hyderabad/Secunderabad,"Liaise with Test Analysts, Product Management, Project Management, Release Management, ...","Product management
SOA
ISO
Project management
Agile
MVC
Information technology
Release management",30+ DAYS AGO
Business Development Executive and Account Manager,Xboom Utilities Pvt. Ltd,4.4,(3 Reviews),0-5 Yrs,"3,50,000 - 4,50,000 PA.","Bangalore/Bengaluru, Delhi / NCR",Team coordination is necessary and must have good interpersonal skillsThe executive is ...,"B2B Sales
Relationship Management
Prospect Management
MS Office
communication
Analytical
Lead Generation
CRM",4 DAYS AGO
Business Development Executive- IT (0-1 Years Exp),FINOIT TECHNOLOGIES (I) PRIVATE LIMITED,4.5,(56 Reviews),0-1 Yrs,Not disclosed,Noida,"We are looking for self-driven individuals with 0-1 year of experience in B2B sales, as...","B2B sales
demand generation
inside sales
prospecting
lead generation
software sales
web research
list building",4 DAYS AGO
New Associate-Telecom Operations,Accenture,4.1,(26528 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,"In this role, you are required to solve routine problems, largely through precedent and...","Telecom
Customer service management
Consulting
Customer retention
Monitoring
Customer satisfaction
Network operations
Management",14 DAYS AGO
"Opening For Software Engineer - Testing at Goregaon, Mumbai",Institutional Shareholder Services,3.4,(20 Reviews),4-9 Yrs,Not disclosed,Mumbai (All Areas),"Dear Candidate, We have an opening for Software Engineer - Testing. Interested Candidat...","Test Automation Framework
Java
Selenium
Security Testing
Cypress
Software Testing
Automation Testing
Test Management",3 DAYS AGO
Software Engineer - Java,Walmart,4.2,(10466 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"We are looking for a strong Senior Software Engineer who can drive design, architecture...","Linux
Spring boot
Java Application Server
testing
Spring Cloud Data Flow
Agile
Scrum
SQL databases",21 DAYS AGO
Principal Software Engineering Manager,Microsoft,4.3,(664 Reviews),10-15 Yrs,Not disclosed,Hyderabad/Secunderabad,Your ability to be the customer advocate and to focus on transforming end-to-end experi...,"IT Skills
Cloud
SAP
Azure
Computer science
Mining
Software design
Web technologies",30+ DAYS AGO
Software Engineering Lead,Optum,4.1,(1590 Reviews),7-12 Yrs,Not disclosed,Hyderabad/Secunderabad,BE MCA with 7+ years of IT Experience in .NET technology,"Software Engineering
DevOps
.NET technology
Agile
Scrum
application architecture
Software Engineering Lead
programming",23 DAYS AGO
